date,product_id,category,brand,region,channel,season,base_price,current_price,price_change_pct,discount_pct,promotion_type,units_sold,revenue,inventory_level,stockout_flag,demand_index,unit_cost,competitor_price
2026-01-01,P1001,Shoes,Nike,AU,mobile,Winter,173.55,112.81,-35.0,35,Buy One Get One,15,1692.15,153,0,133.93,102.71,165.74
2026-01-02,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,10,1735.5,185,0,89.29,83.74,172.62
2026-01-03,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,13,2256.15,312,0,116.07,107.76,188.36
2026-01-04,P1001,Shoes,Nike,AU,web,Winter,173.55,164.87,-5.0,5,Member Offer,13,2143.31,227,0,116.07,115.87,167.89
2026-01-05,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,13,2256.15,247,0,116.07,91.39,165.91
2026-01-06,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,14,2429.7,94,0,125.0,80.80,182.41
2026-01-07,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,11,1909.05,143,0,98.21,70.80,171.77
2026-01-08,P1001,Shoes,Nike,AU,web,Winter,173.55,156.2,-10.0,10,Percentage Discount,9,1405.8,248,0,80.36,103.26,183.79
2026-01-09,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,10,1735.5,342,0,89.29,80.90,185.33
2026-01-10,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,13,2256.15,396,0,116.07,111.56,165.10
2026-01-11,P1001,Shoes,Nike,AU,app,Winter,173.55,156.2,-10.0,10,Percentage Discount,12,1874.4,208,0,107.14,111.37,189.10
2026-01-12,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,13,2256.15,303,0,116.07,87.14,170.27
2026-01-13,P1001,Shoes,Nike,AU,web,Winter,173.55,121.48,-30.0,30,Percentage Discount,13,1579.24,351,0,116.07,119.26,176.56
2026-01-14,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,9,1561.95,117,0,80.36,74.25,168.23
2026-01-15,P1001,Shoes,Nike,AU,mobile,Winter,173.55,138.84,-20.0,20,Flash Sale,15,2082.6,256,0,133.93,113.54,185.83
2026-01-16,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,12,2082.6,179,0,107.14,111.44,190.20
2026-01-17,P1001,Shoes,Nike,AU,web,Winter,173.55,112.81,-35.0,35,Buy One Get One,19,2143.39,328,0,169.64,97.34,198.65
2026-01-18,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,9,1561.95,358,0,80.36,89.13,184.03
2026-01-19,P1001,Shoes,Nike,AU,web,Winter,173.55,138.84,-20.0,20,Flash Sale,13,1804.92,316,0,116.07,112.60,186.34
2026-01-20,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,7,1214.85,448,0,62.5,114.28,184.91
2026-01-21,P1001,Shoes,Nike,AU,app,Winter,173.55,104.13,-40.0,40,Flash Sale,15,1561.95,312,0,133.93,106.10,166.46
2026-01-22,P1001,Shoes,Nike,AU,mobile,Winter,173.55,138.84,-20.0,20,Percentage Discount,10,1388.4,132,0,89.29,81.29,174.92
2026-01-23,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,13,2256.15,284,0,116.07,73.57,172.95
2026-01-24,P1001,Shoes,Nike,AU,web,Winter,173.55,164.87,-5.0,5,Member Offer,13,2143.31,281,0,116.07,74.68,174.52
2026-01-25,P1001,Shoes,Nike,AU,app,Winter,173.55,112.81,-35.0,35,Buy One Get One,15,1692.15,232,0,133.93,102.52,177.54
2026-01-26,P1001,Shoes,Nike,AU,app,Winter,173.55,121.48,-30.0,30,Clearance,16,1943.68,375,0,142.86,88.69,172.14
2026-01-27,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,9,1561.95,247,0,80.36,83.32,197.38
2026-01-28,P1001,Shoes,Nike,AU,app,Winter,173.55,104.13,-40.0,40,Flash Sale,13,1353.69,272,0,116.07,103.16,186.02
2026-01-29,P1001,Shoes,Nike,AU,web,Winter,173.55,156.2,-10.0,10,Percentage Discount,11,1718.2,262,0,98.21,78.33,190.18
2026-01-30,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,13,2256.15,371,0,116.07,77.93,178.04
2026-01-31,P1001,Shoes,Nike,AU,mobile,Winter,173.55,112.81,-35.0,35,Buy One Get One,8,902.48,287,0,71.43,120.94,187.09
2026-02-01,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,9,1561.95,119,0,80.36,98.42,188.64
2026-02-02,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,11,1909.05,256,0,98.21,113.30,191.81
2026-02-03,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,12,2082.6,288,0,107.14,81.35,165.99
2026-02-04,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,12,2082.6,258,0,107.14,85.84,174.17
2026-02-05,P1001,Shoes,Nike,AU,app,Winter,173.55,147.52,-15.0,15,Member Offer,12,1770.24,346,0,107.14,80.40,197.60
2026-02-06,P1001,Shoes,Nike,AU,app,Winter,173.55,156.2,-10.0,10,Member Offer,16,2499.2,261,0,142.86,115.05,175.79
2026-02-07,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,9,1561.95,301,0,80.36,103.55,178.60
2026-02-08,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,13,2256.15,189,0,116.07,117.04,180.80
2026-02-09,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,15,2603.25,83,0,133.93,83.21,173.43
